HEX,SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
01 00 17 24,1CA140,801D9940,"addiu $s7, $zero, 1 [0x0001]",,
02 00 F6 12,1CA144,801D9944,"[TRUE] beq $s7, $s6, 2",1CA150,801D9950
00 00 00 00,1CA148,801D9948,"nop",,
00 00 00 00,1CA148,801D9948,"nop",,
05 00 15 24,1CA14C,801D994C,"addiu $s5, $zero, 5 [0x0005]",,
