HEX,SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
01 00 17 24,1CA140,801D9940,"addiu $s7, $zero, 1 [0x0001]",,
09 00 D7 12,1CA144,801D9944,"beq $s6, $s7, 9",1CA16C,801D996C
02 00 17 24,1CA148,801D9948,"addiu $s7, $zero, 2 [0x0002]",,
00 00 D7 12,1CA16C,801D996C,"beq $s6, $s7, 0",1CA170,801D9970
03 00 17 24,1CA170,801D9970,"addiu $s7, $zero, 3 [0x0003]",,
00 00 D7 12,1CA174,801D9974,"beq $s6, $s7, 0",1CA178,801D9978
04 00 17 24,1CA178,801D9978,"addiu $s7, $zero, 4 [0x0004]",,
00 00 D7 12,1CA17C,801D997C,"beq $s6, $s7, 0",1CA180,801D9980
00 00 00 00,1CA180,801D9980,"nop",,
5F 66 07 08,1CA184,801D9984,"j 0x801D997C",1CA17C,801D997C
00 00 00 00,1CA188,801D9988,"nop",,
1A 80 0C 3C,1CA17C,801D997C,"lui $t4, 0x801A",,
1A 80 0D 3C,1CA180,801D9980,"lui $t5, 0x801A",,
CD 02 87 93,1CA184,801D9984,"lbu $a3, 717($gp)",,
04 00 E0 14,1CA188,801D9988,"bne $a3, $zero, 4",1CA19C,801D999C
1D 80 0E 3C,1CA18C,801D998C,"lui $t6, 0x801D",,
64 7B 8C 25,1CA190,801D9990,"addiu $t4, $t4, 31588 [0x7B64]",,
83 66 07 08,1CA194,801D9994,"j 0x801D9A0C",1CA20C,801D9A0C
F0 7B AD 25,1CA198,801D9998,"addiu $t5, $t5, 31728 [0x7BF0]",,
F0 7B 8C 25,1CA20C,801D9A0C,"addiu $t4, $t4, 31728 [0x7BF0]",,
08 7D AD 25,1CA210,801D9A10,"addiu $t5, $t5, 32008 [0x7D08]",,
40 42 CE 25,1CA214,801D9A14,"addiu $t6, $t6, 16960 [0x4240]",,
0C 00 96 95,1CA218,801D9A18,"lhu $s6, 12($t4)",,
80 40 16 00,1CA21C,801D9A1C,"sll $t0, $s6, 2",,
21 48 0E 01,1CA220,801D9A20,"addu $t1, $t0, $t6",,
00 00 29 8D,1CA224,801D9A24,"lw $t1, 0($t1)",,
82 4E 09 00,1CA228,801D9A28,"srl $t1, $t1, 26",,
00 00 0A 24,1CA22C,801D9A2C,"addiu $t2, $zero, 0 [0x0000]",,
04 00 2A 15,1CA230,801D9A30,"bne $t1, $t2, 4",1CA244,801D9A44
00 00 00 00,1CA234,801D9A34,"nop",,
12 00 92 95,1CA244,801D9A44,"lhu $s2, 18($t4)",,
2C 01 52 26,1CA248,801D9A48,"addiu $s2, $s2, 300 [0x012C]",,
12 00 92 A5,1CA24C,801D9A4C,"sh $s2, 18($t4)",,
2B C0 8D 01,1CA250,801D9A50,".rtype opcode=0 funct=0x2B rs=$t4 rt=$t5 rd=$t8 sh=0",,
04 00 00 13,1CA254,801D9A54,"beq $t8, $zero, 4",1CA268,801D9A68
00 00 00 00,1CA258,801D9A58,"nop",,
1C 00 8C 25,1CA268,801D9A68,"addiu $t4, $t4, 28 [0x001C]",,
F0 FF 00 10,1CA26C,801D9A6C,"beq $zero, $zero, -16",1CA230,801D9A30
00 00 00 00,1CA270,801D9A70,"nop",,
5F 66 07 08,1CA230,801D9A30,"j 0x801D997C",1CA17C,801D997C
2C 01 42 24,1CA234,801D9A34,"addiu $v0, $v0, 300 [0x012C]",,
