HEX,SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
E4 65 07 08,010438,8001FC38,"j 0x801D9790 (1C9F90)",1C9F90,801D9790
1D 80 03 3C,01043C,8001FC3C,"lui $v1, 0x801D",,
