HEX,SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
03 00 09 11,000068,8000F868,"[false] beq $t0, $t1, 3 (000078) [0x8000F878]",,
00 00 00 00,00006C,8000F86C,"nop",,
21 3E 00 08,000070,8000F870,"j 0x8000F884 (000084) [0x8000F884]",,
00 00 00 00,000074,8000F874,"nop",,
00 00 00 00,000084,8000F884,"nop",,
