HEX,SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
40 64 07 08,000000,8000F800,"j 0x801D9100 (1C9900) [0x801D9100]",,
00 00 00 00,000004,8000F804,"nop",,
21 80 11 02,000008,8000F808,"addu $s0, $s0, $s1",,
01 00 20 11,00000C,8000F80C,"beq $t1, $zero, 1 [true] (000014) [0x8000F814]",,
00 00 10 26,000010,8000F810,"addiu $s0, $s0, 0 [0x0000]",,
00 00 10 26,000014,8000F814,"addiu $s0, $s0, 0 [0x0000]",,
