HEX,SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
03 00 20 11,000000,8000F800,"beq $t1, $zero, 3 [true] (000010) [0x8000F810]",,
00 00 00 00,000004,8000F804,"nop",,
21 80 11 02,000008,8000F808,"addu $s0, $s0, $s1",,
01 00 20 11,00000C,8000F80C,"beq $t1, $zero, 1 [true] (000014) [0x8000F814]",,
01 00 10 24,000010,8000F810,"addiu $s0, $zero, 1 [0x0001]",,
