SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
1CA140,801D9940,"addiu $a0, $a0, -752 [0xFD10]",,
1CA144,801D9944,"sw $a1, 0($a0)",,
1CA148,801D9948,"sw $a2, 4($a0)",,
1CA14C,801D994C,"sw $a3, 8($a0)",,
1CA150,801D9950,"sw $t0, 12($a0)",,
1CA154,801D9954,"sw $t5, 16($a0)",,
1CA158,801D9958,"sw $t6, 20($a0)",,
1CA15C,801D995C,"sw $s3, 24($a0)",,
1CA160,801D9960,"sw $s4, 28($a0)",,
1CA164,801D9964,"sw $s5, 32($a0)",,
1CA168,801D9968,"sw $s6, 36($a0)",,
1CA16C,801D996C,"sw $s7, 40($a0)",,
1CA170,801D9970,"sw $ra, 48($a0)",,
1CA174,801D9974,"j 0x801D99B8",1CA1B8,801D99B8
1CA178,801D9978,"lhu $s6, 12($s0)",,
1CA1B8,801D99B8,"lui $a0, 0x801D",,
1CA1BC,801D99BC,"addiu $a0, $a0, -752 [0xFD10]",,
1CA1C0,801D99C0,"lw $a1, 0($a0)",,
1CA1C4,801D99C4,"lw $a2, 4($a0)",,
1CA1C8,801D99C8,"lw $a3, 8($a0)",,
1CA1CC,801D99CC,"lw $t0, 12($a0)",,
1CA1D0,801D99D0,"lw $t5, 16($a0)",,
1CA1D4,801D99D4,"lw $t6, 20($a0)",,
1CA1D8,801D99D8,"lw $s3, 24($a0)",,
1CA1DC,801D99DC,"lw $s4, 28($a0)",,
1CA1E0,801D99E0,"lw $s5, 32($a0)",,
1CA1E4,801D99E4,"lw $s6, 36($a0)",,
1CA1E8,801D99E8,"lw $s7, 40($a0)",,
1CA1EC,801D99EC,"j 0x8001B5E4",00BDE4,8001B5E4
1CA1F0,801D99F0,"addu $a0, $s1, $zero",,
00BDE4,8001B5E4,"addiu $s7, $zero, 1 [0x0001]",,
00BDE8,8001B5E8,"beq $s6, $s7, 9",00BE10,8001B610
00BDEC,8001B5EC,"addiu $s7, $zero, 2 [0x0002]",,
00BDF0,8001B5F0,"beq $s6, $s7, 0",00BDF4,8001B5F4
00BDF4,8001B5F4,"addiu $s7, $zero, 3 [0x0003]",,
00BDF8,8001B5F8,"beq $s6, $s7, 0",00BDFC,8001B5FC
00BDFC,8001B5FC,"addiu $s7, $zero, 4 [0x0004]",,
00BE00,8001B600,"beq $s6, $s7, 0",00BE04,8001B604
00BE04,8001B604,"nop",,
00BE08,8001B608,"j 0x801D997C",1CA17C,801D997C
00BE0C,8001B60C,"nop",,
1CA17C,801D997C,"lui $t4, 0x801A",,
1CA180,801D9980,"lui $t5, 0x801A",,
1CA184,801D9984,"lbu $a3, 717($gp)",,
1CA188,801D9988,"bne $a3, $zero, 4",,
1CA18C,801D998C,"lui $t6, 0x801D",,
1CA190,801D9990,"addiu $t4, $t4, 31588 [0x7B64]",,
1CA194,801D9994,"j 0x801D9A0C",1CA20C,801D9A0C
1CA198,801D9998,"addiu $t5, $t5, 31728 [0x7BF0]",,
1CA20C,801D9A0C,"addiu $t4, $t4, 31728 [0x7BF0]",,
1CA210,801D9A10,"addiu $t5, $t5, 32008 [0x7D08]",,
1CA214,801D9A14,"addiu $t6, $t6, 16960 [0x4240]",,
1CA218,801D9A18,"lhu $s6, 12($t4)",,
1CA21C,801D9A1C,"sll $t0, $s6, 2",,
1CA220,801D9A20,"addu $t1, $t0, $t6",,
1CA224,801D9A24,"lw $t1, 0($t1)",,
1CA228,801D9A28,"srl $t1, $t1, 26",,
1CA22C,801D9A2C,"addiu $t2, $zero, 0 [0x0000]",,
1CA230,801D9A30,"bne $t1, $t2, 4",,
1CA234,801D9A34,"nop",,
1CA238,801D9A38,"lhu $s2, 18($t4)",,
1CA23C,801D9A3C,"addiu $s2, $s2, 300 [0x012C]",,
1CA240,801D9A40,"sh $s2, 18($t4)",,
1CA244,801D9A44,".rtype opcode=0 funct=0x2B rs=$t4 rt=$t5 rd=$t8 sh=0",,
1CA248,801D9A48,"beq $t8, $zero, 4",1CA25C,801D9A5C
1CA24C,801D9A4C,"nop",,
1CA250,801D9A50,"addiu $t4, $t4, 28 [0x001C]",,
1CA254,801D9A54,"beq $zero, $zero, -16",1CA218,801D9A18
1CA258,801D9A58,"nop",,
1CA25C,801D9A5C,"j 0x801D997C",1CA17C,801D997C
1CA260,801D9A60,"addiu $v0, $v0, 300 [0x012C]",,
