HEX,SLUS,RAM,ASM,BranchTargetSLUS,BranchTargetRAM
03 00 09 11,000068,8000F868,"[true] beq $t0, $t1, 3 (000078) [0x8000F878]",,
00 00 00 00,00006C,8000F86C,"nop",,
00 00 00 00,000078,8000F878,"nop",,
01 00 09 24,00007C,8000F87C,"addiu $t1, $zero, 1 [0x0001]",,
FA FF 00 11,000080,8000F880,"[true] beq $t0, $zero, -6 (00006C) [0x8000F86C]",,
00 00 00 00,000084,8000F884,"nop",,
00 00 00 00,00006C,8000F86C,"nop",,
21 3E 00 08,000070,8000F870,"j 0x8000F884 (000084) [0x8000F884]",,
00 00 00 00,000074,8000F874,"nop",,
00 00 00 00,000084,8000F884,"nop",,
